model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Volkswagen Passat Variant ;€ 19,980.-;128,700 km;02/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Volkswagen Caddy ;€ 16,490.-;142,080 km;05/2016;75 kW (102 hp);Used;1 previous owner;Manual;Diesel;13 l/100 km (comb.);128 g/km (comb.)
Volkswagen Passat Variant ;€ 21,980.-;135,300 km;03/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Toyota Auris ;€ 14,990.-;149,000 km;02/2018;100 kW (136 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4 l/100 km (comb.);- (g/km)
Hyundai i30 ;€ 15,950.-;82,073 km;01/2016;137 kW (186 hp);Used;- (Previous Owners);Manual;Gasoline;7.3 l/100 km (comb.);- (g/km)
Volkswagen Passat Variant ;€ 22,480.-;104,000 km;05/2019;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Lancia Ypsilon ;€ 4,800.-;100,000 km;05/2011;55 kW (75 hp);Used;1 previous owner;Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Volkswagen Passat Variant ;€ 20,980.-;117,000 km;11/2018;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);113 g/km (comb.)
Volkswagen Passat Variant ;€ 21,480.-;117,200 km;05/2019;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);113 g/km (comb.)
Volkswagen Passat Variant ;€ 18,480.-;144,500 km;05/2019;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);113 g/km (comb.)
Volkswagen Passat Variant ;€ 19,980.-;136,400 km;05/2019;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.3 l/100 km (comb.);113 g/km (comb.)
Volkswagen Passat Variant ;€ 27,480.-;86,700 km;07/2020;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;- (l/100 km);- (g/km)
Volkswagen Passat Variant ;€ 25,980.-;117,600 km;07/2020;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;- (l/100 km);- (g/km)
Volkswagen Passat Variant ;€ 16,870.-;161,700 km;08/2019;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Volkswagen Passat ;€ 24,980.-;120,500 km;03/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);113 g/km (comb.)
Volkswagen Passat ;€ 24,980.-;117,000 km;03/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);113 g/km (comb.)
Honda HR-V ;€ 34,990.-;26,000 km;03/2022;79 kW (107 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Volkswagen Passat ;€ 21,980.-;131,500 km;09/2019;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.3 l/100 km (comb.);114 g/km (comb.)
Volkswagen Passat ;€ 22,980.-;116,500 km;07/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Volkswagen Passat ;€ 20,980.-;149,000 km;01/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);114 g/km (comb.)
Volkswagen Passat Alltrack ;€ 29,980.-;129,500 km;04/2018;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;5.3 l/100 km (comb.);138 g/km (comb.)
Volkswagen Passat Alltrack ;€ 27,480.-;128,600 km;08/2018;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;5.2 l/100 km (comb.);137 g/km (comb.)
Volkswagen Passat ;€ 24,980.-;106,000 km;07/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.4 l/100 km (comb.);113 g/km (comb.)
Dacia Sandero ;€ 6,200.-;63,700 km;12/2013;55 kW (75 hp);Used;1 previous owner;Manual;Gasoline;5.8 l/100 km (comb.);137 g/km (comb.)
Opel Corsa ;€ 2,700.-;193,800 km;12/2010;51 kW (69 hp);Used;2 previous owners;Manual;Gasoline;5.3 l/100 km (comb.);124 g/km (comb.)
Kia Ceed SW / cee'd SW ;€ 8,999.-;99,800 km;06/2013;73 kW (99 hp);Used;2 previous owners;Manual;Gasoline;6.5 l/100 km (comb.);154 g/km (comb.)
Ford Fiesta ;€ 8,700.-;58,700 km;11/2016;60 kW (82 hp);Used;1 previous owner;Manual;Gasoline;5.2 l/100 km (comb.);122 g/km (comb.)
Audi Q7 ;€ 34,900.-;165,100 km;04/2016;155 kW (211 hp);Used;- (Previous Owners);Automatic;Diesel;5.5 l/100 km (comb.);- (g/km)
Volvo XC60 ;€ 64,900.-;29,735 km;11/2021;287 kW (390 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);56 g/km (comb.)
BMW X7 ;€ 105,000.-;46,000 km;06/2021;250 kW (340 hp);Used;1 previous owner;Automatic;Diesel;6.4 l/100 km (comb.);167 g/km (comb.)
Skoda Fabia ;€ 11,990.-;40,000 km;05/2018;55 kW (75 hp);Used;2 previous owners;Manual;Gasoline;4.9 l/100 km (comb.);111 g/km (comb.)
BMW X3 ;€ 18,990.-;180,000 km;10/2012;190 kW (258 hp);Used;1 previous owner;Automatic;Diesel;5 l/100 km (comb.);159 g/km (comb.)
Fiat 500C ;€ 13,990.-;38,500 km;12/2019;63 kW (86 hp);Used;1 previous owner;Manual;Gasoline;4.8 l/100 km (comb.);110 g/km (comb.)
Jeep Wrangler ;€ 30,990.-;68,100 km;07/2012;147 kW (200 hp);Used;1 previous owner;Automatic;Diesel;8 l/100 km (comb.);217 g/km (comb.)
Alfa Romeo Stelvio ;€ 27,990.-;106,500 km;07/2018;132 kW (179 hp);Used;1 previous owner;Automatic;Diesel;4.7 l/100 km (comb.);124 g/km (comb.)
Mercedes-Benz B 170 ;€ 2,900.-;160,709 km;05/2006;85 kW (116 hp);Used;2 previous owners;Manual;LPG;7.1 l/100 km (comb.);171 g/km (comb.)
Volkswagen Golf ;€ 5,000.-;86,000 km;06/2004;75 kW (102 hp);Used;1 previous owner;Manual;Gasoline;7.2 l/100 km (comb.);173 g/km (comb.)
Citroen Berlingo ;€ 9,985.-;126,000 km;05/2014;68 kW (92 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);133 g/km (comb.)
Mercedes-Benz CLS ;€ 18,985.-;194,000 km;04/2014;150 kW (204 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);133 g/km (comb.)
Skoda Octavia ;€ 8,485.-;169,800 km;06/2011;125 kW (170 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Renault Scenic ;€ 9,985.-;149,000 km;06/2013;81 kW (110 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);105 g/km (comb.)
Mercedes-Benz C 200 ;€ 20,985.-;115,000 km;01/2016;100 kW (136 hp);Used;- (Previous Owners);Automatic;Diesel;4.3 l/100 km (comb.);109 g/km (comb.)
Nissan Qashqai ;€ 14,970.-;139,000 km;04/2014;96 kW (131 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Porsche 911 ;€ 234,911.-;3,200 km;06/2022;375 kW (510 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Mitsubishi Outlander ;€ 19,875.-;132,000 km;02/2015;89 kW (121 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Mitsubishi Outlander ;€ 19,875.-;132,000 km;02/2015;89 kW (121 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Porsche Panamera ;€ 46,985.-;122,000 km;05/2014;245 kW (333 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;3.1 l/100 km (comb.);73 g/km (comb.)
Porsche Cayenne ;€ 124,585.-;46,500 km;10/2019;404 kW (549 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
BMW 428 ;€ 26,965.-;95,000 km;01/2016;180 kW (245 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Renault Grand Scenic ;€ 9,985.-;149,000 km;06/2013;81 kW (110 hp);Used;- (Previous Owners);Automatic;Diesel;4.1 l/100 km (comb.);105 g/km (comb.)
Peugeot 508 ;€ 9,985.-;132,900 km;10/2013;103 kW (140 hp);Used;1 previous owner;Manual;Diesel;4.8 l/100 km (comb.);125 g/km (comb.)
Isuzu D-Max ;€ 22,985.-;129,800 km;06/2017;120 kW (163 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
BMW X5 ;€ 32,875.-;166,000 km;09/2016;180 kW (245 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;3.3 l/100 km (comb.);78 g/km (comb.)
Nissan Murano ;€ 8,485.-;169,800 km;02/2008;172 kW (234 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Hyundai TUCSON ;€ 6,485.-;121,000 km;08/2009;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Opel Meriva ;€ 6,485.-;119,000 km;10/2010;88 kW (120 hp);Used;- (Previous Owners);Manual;Gasoline;5.6 l/100 km (comb.);133 g/km (comb.)
Mazda CX-5 ;€ 19,985.-;76,900 km;02/2017;118 kW (160 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
BMW X3 ;€ 14,985.-;156,000 km;01/2014;135 kW (184 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);148 g/km (comb.)
Opel Insignia ;€ 5,885.-;196,000 km;09/2011;103 kW (140 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Audi A5 ;€ 12,985.-;139,800 km;06/2010;118 kW (160 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Kia Sportage ;€ 7,485.-;75,900 km;06/2006;103 kW (140 hp);Used;1 previous owner;Automatic;Diesel;- (l/100 km);- (g/km)
Volvo XC90 ;€ 4,985.-;150,000 km;09/2005;120 kW (163 hp);Used;1 previous owner;Automatic;Diesel;- (l/100 km);- (g/km)
Audi RS4 ;€ 36,985.-;112,900 km;03/2013;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz CLS 250 ;€ 18,985.-;194,000 km;04/2014;150 kW (204 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);133 g/km (comb.)
Mercedes-Benz E 200 ;€ 12,985.-;166,000 km;07/2011;135 kW (184 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz E 200 ;€ 12,985.-;166,000 km;07/2011;135 kW (184 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Land Rover Discovery Sport ;€ 14,985.-;229,000 km;01/2017;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;5.1 l/100 km (comb.);134 g/km (comb.)
Dodge RAM ;€ 29,985.-;145,000 km;07/2012;291 kW (396 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Chevrolet Astro ;€ 12,985.-;172,000 km;09/1997;139 kW (189 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Nissan Murano ;€ 8,485.-;169,800 km;02/2008;172 kW (234 hp);Used;- (Previous Owners);Automatic;LPG;- (l/100 km);- (g/km)
Audi Q5 ;€ 14,250.-;179,000 km;04/2010;155 kW (211 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Mazda RX-8 ;€ 9,985.-;65,000 km;04/2004;170 kW (231 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz V 220 ;€ 4,985.-;443,000 km;03/2001;90 kW (122 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Land Rover Range Rover Sport ;€ 39,875.-;129,500 km;03/2016;225 kW (306 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Ferrari 458 ;€ 179,458.-;54,300 km;04/2011;416 kW (566 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
BMW 428 ;€ 26,965.-;95,000 km;01/2016;180 kW (245 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Subaru Forester ;€ 34,985.-;13,600 km;03/2021;110 kW (150 hp);Used;- (Previous Owners);Automatic;Gasoline;6.7 l/100 km (comb.);154 g/km (comb.)
Subaru Forester ;€ 34,985.-;13,600 km;03/2021;110 kW (150 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;6.7 l/100 km (comb.);154 g/km (comb.)
Land Rover Discovery Sport ;€ 19,985.-;150,000 km;02/2017;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);134 g/km (comb.)
Volvo V70 ;€ 8,985.-;182,000 km;12/2009;107 kW (145 hp);Used;- (Previous Owners);Manual;Ethanol;- (l/100 km);- (g/km)
Volvo V70 ;€ 4,385.-;346,000 km;10/2006;136 kW (185 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Lamborghini Huracan ;€ 238,580.-;17,400 km;04/2017;426 kW (579 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Lexus LS 460 ;€ 29,985.-;33,800 km;01/2007;280 kW (381 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Hyundai H-1 ;€ 29,970.-;87,600 km;07/2018;125 kW (170 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Land Rover Discovery Sport ;€ 21,485.-;136,000 km;08/2017;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);134 g/km (comb.)
Hyundai TUCSON ;€ 18,685.-;118,000 km;09/2015;100 kW (136 hp);Used;1 previous owner;Manual;Diesel;5.2 l/100 km (comb.);139 g/km (comb.)
Audi A6 allroad ;€ 19,985.-;150,000 km;04/2013;150 kW (204 hp);Used;1 previous owner;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Hyundai i30 ;€ 13,285.-;100,000 km;03/2015;99 kW (135 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Dodge Journey ;€ 7,985.-;120,000 km;09/2011;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Audi A6 ;€ 15,985.-;165,000 km;03/2014;120 kW (163 hp);Used;- (Previous Owners);Manual;Diesel;4.7 l/100 km (comb.);125 g/km (comb.)
Subaru XV ;€ 14,985.-;134,000 km;01/2015;110 kW (150 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Volvo V70 ;€ 8,985.-;182,000 km;12/2009;107 kW (145 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
smart forFour ;€ 18,500.-;15,000 km;02/2020;41 kW (56 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Opel Astra ;€ 3,000.-;171,500 km;08/2007;77 kW (105 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
BMW 116 ;€ 16,700.-;113,000 km;06/2018;80 kW (109 hp);Used;1 previous owner;Manual;Gasoline;6 l/100 km;130 g/km (comb.)
Fiat Grande Punto ;€ 4,499.-;239,000 km;06/2007;66 kW (90 hp);Used;1 previous owner;Manual;Diesel;4.7 l/100 km (comb.);119 g/km (comb.)
Mercedes-Benz E 280 ;€ 5,000.-;355,300 km;05/2008;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;6.9 l/100 km (comb.);183 g/km (comb.)
Kia Rio ;€ 10,000.-;125,000 km;10/2017;74 kW (101 hp);Used;- (Previous Owners);Manual;Gasoline;4.5 l/100 km (comb.);102 g/km (comb.)
Toyota Yaris ;€ 5,900.-;125,000 km;06/2010;51 kW (69 hp);Used;1 previous owner;Manual;Gasoline;5 l/100 km (comb.);118 g/km (comb.)
Peugeot 207 ;€ 5,000.-;180,000 km;12/2009;70 kW (95 hp);Used;- (Previous Owners);Manual;Gasoline;6.1 l/100 km (comb.);145 g/km (comb.)
Suzuki SJ Samurai ;€ 3,800.-;124,000 km;04/1999;51 kW (69 hp);Used;- (Previous Owners);Manual;Gasoline;8.5 l/100 km (comb.);- (g/km)
Mercedes-Benz GLC 220 ;€ 54,000.-;32,000 km;12/2020;143 kW (194 hp);Used;- (Previous Owners);Semi-automatic;Diesel;5.5 l/100 km (comb.);- (g/km)
Mitsubishi L200 ;€ 17,499.-;218,000 km;03/2011;131 kW (178 hp);Used;- (Previous Owners);Automatic;Diesel;9.4 l/100 km (comb.);- (g/km)
Mercedes-Benz EQC 400 ;€ 61,690.-;56,650 km;11/2020;300 kW (408 hp);Used;1 previous owner;Automatic;Electric;22.6 kWh/100 km;0 g/km (comb.)
Peugeot 206 ;€ 3,890.-;84,000 km;08/2009;55 kW (75 hp);Used;- (Previous Owners);Manual;Gasoline;6.3 l/100 km (comb.);150 g/km (comb.)
Volkswagen Polo ;€ 3,950.-;76,000 km;08/2004;55 kW (75 hp);Used;1 previous owner;Manual;Gasoline;6.4 l/100 km (comb.);154 g/km (comb.)
Daihatsu Sirion ;€ 5,290.-;50,900 km;03/2012;51 kW (69 hp);Used;2 previous owners;Manual;Gasoline;5 l/100 km (comb.);118 g/km (comb.)
Mercedes-Benz C 200 ;€ 4,790.-;213,000 km;06/2004;120 kW (163 hp);Used;- (Previous Owners);Automatic;Gasoline;8.9 l/100 km (comb.);214 g/km (comb.)
Peugeot 206 ;€ 3,890.-;63,470 km;07/2009;44 kW (60 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Renault Twingo ;€ 4,290.-;87,000 km;07/2011;55 kW (75 hp);Used;2 previous owners;Manual;Gasoline;4.5 l/100 km (comb.);105 g/km (comb.)
SEAT Ibiza ;€ 4,390.-;36,000 km;10/2003;55 kW (75 hp);Used;1 previous owner;Manual;Gasoline;6.4 l/100 km (comb.);154 g/km (comb.)
Opel Corsa ;€ 11,500.-;63,307 km;05/2019;66 kW (90 hp);Used;1 previous owner;Manual;Gasoline;3.2 l/100 km (comb.);94 g/km (comb.)
Mazda CX-5 ;€ 14,980.-;169,704 km;04/2012;121 kW (165 hp);Used;3 previous owners;Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
BMW X1 ;€ 23,000.-;164,000 km;07/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.6 l/100 km (comb.);121 g/km (comb.)
Fiat Panda ;€ 6,900.-;135,000 km;06/2006;44 kW (60 hp);Used;- (Previous Owners);Manual;Gasoline;6.6 l/100 km (comb.);155 g/km (comb.)
Bentley Arnage ;€ 22,500.-;173,000 km;02/2000;- kW (- hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Land Rover Range Rover Velar ;€ 104,900.-;77,675 km;10/2019;405 kW (551 hp);Used;- (Previous Owners);Automatic;Gasoline;11.8 l/100 km (comb.);0 g/km (comb.)
Peugeot 807 ;€ 5,300.-;226,369 km;02/2011;100 kW (136 hp);Used;- (Previous Owners);Manual;Diesel;6.1 l/100 km (comb.);- (g/km)
Mercedes-Benz B 180 ;€ 32,000.-;33,500 km;06/2020;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;3 l/100 km (comb.);101 g/km (comb.)
Lotus Elise ;€ 60,000.-;42,000 km;07/2008;163 kW (222 hp);Used;- (Previous Owners);Manual;Gasoline;8.5 l/100 km (comb.);- (g/km)
Audi Allroad ;€ 24,990.-;194,900 km;11/2016;236 kW (321 hp);Used;- (Previous Owners);Automatic;- (Fuel type);- (l/100 km);- (g/km)
Kia Picanto ;€ 4,400.-;80,000 km;06/2009;44 kW (60 hp);Used;1 previous owner;Manual;LPG;4 l/100 km (comb.);- (g/km)
Mercedes-Benz SL 500 ;€ 43,500.-;36,985 km;05/2008;285 kW (387 hp);Used;1 previous owner;Automatic;Gasoline;- (l/100 km);- (g/km)
Subaru Impreza ;€ 12,000.-;168,000 km;09/2003;195 kW (265 hp);Used;- (Previous Owners);Manual;Gasoline;11.1 l/100 km (comb.);- (g/km)
Citroen Méhari ;€ 13,000.-;66,000 km;12/1984;24 kW (33 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Subaru Impreza ;€ 12,000.-;168,000 km;09/2003;195 kW (265 hp);Used;- (Previous Owners);Manual;Gasoline;11.1 l/100 km (comb.);- (g/km)
Citroen Méhari ;€ 13,000.-;66,000 km;12/1984;24 kW (33 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Suzuki Jimny ;€ 11,990.-;37,000 km;03/2007;63 kW (86 hp);Used;1 previous owner;Manual;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Mercedes-Benz Vito ;€ 21,780.-;122,992 km;01/2018;100 kW (136 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);164 g/km (comb.)
BMW 220 ;€ 16,900.-;105,000 km;07/2015;140 kW (190 hp);Used;3 previous owners;Automatic;Diesel;4.3 l/100 km (comb.);112 g/km (comb.)
Volkswagen Golf ;€ 30,440.-;13,554 km;11/2021;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;3.9 l/100 km (comb.);103 g/km (comb.)
Porsche 996 ;€ 32,000.-;250,000 km;11/1999;300 kW (408 hp);Used;- (Previous Owners);Manual;Gasoline;13.1 l/100 km (comb.);- (g/km)
SEAT Leon ;€ 17,300.-;53,800 km;07/2017;92 kW (125 hp);Used;- (Previous Owners);Manual;Gasoline;5.2 l/100 km (comb.);- (g/km)
Volvo XC60 ;€ 10,450.-;167,359 km;03/2013;120 kW (163 hp);Used;1 previous owner;Manual;Diesel;5.7 l/100 km (comb.);149 g/km (comb.)
Volkswagen Polo ;€ 15,500.-;22,000 km;04/2021;66 kW (90 hp);Used;- (Previous Owners);Manual;CNG;- (l/100 km);- (g/km)
Mercedes-Benz C 300 ;€ 41,900.-;24,550 km;09/2020;143 kW (194 hp);Used;1 previous owner;Automatic;Others;1.6 l/100 km (comb.);- (g/km)
Fiat Ducato ;€ 5,000.-;295,000 km;09/2011;74 kW (101 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Porsche Macan ;€ 59,500.-;40,900 km;04/2019;180 kW (245 hp);Used;2 previous owners;Automatic;Gasoline;8.1 l/100 km (comb.);- (g/km)
Land Rover Defender ;€ 22,000.-;302,000 km;11/1999;90 kW (122 hp);Used;1 previous owner;Manual;Diesel;10.5 l/100 km (comb.);1 g/km (comb.)
Mercedes-Benz A 180 ;€ 16,400.-;179,988 km;11/2014;90 kW (122 hp);Used;4 previous owners;Automatic;Gasoline;5.7 l/100 km (comb.);133 g/km (comb.)
Audi Q5 ;€ 12,500.-;210,000 km;10/2010;125 kW (170 hp);Used;- (Previous Owners);Semi-automatic;Diesel;7 l/100 km (comb.);184 g/km (comb.)
Audi A3 ;€ 20,490.-;60,000 km;01/2019;85 kW (116 hp);Used;1 previous owner;Automatic;Diesel;3.9 l/100 km (comb.);136 g/km (comb.)
Audi A1 ;€ 25,490.-;14,500 km;11/2020;81 kW (110 hp);Used;- (Previous Owners);Automatic;Gasoline;5.8 l/100 km (comb.);132 g/km (comb.)
Audi A1 ;€ 25,490.-;14,500 km;11/2020;81 kW (110 hp);Used;- (Previous Owners);Automatic;Gasoline;5.8 l/100 km (comb.);132 g/km (comb.)
Abarth 595 Pista ;€ 19,790.-;43,890 km;06/2018;118 kW (160 hp);Used;- (Previous Owners);Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
Tesla Model S ;€ 59,990.-;68,200 km;12/2019;413 kW (562 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
BMW X5 ;€ 8,800.-;230,341 km;09/2004;160 kW (218 hp);Used;2 previous owners;Automatic;Diesel;8.6 l/100 km (comb.);229 g/km (comb.)
MINI Cooper S ;€ 22,900.-;123,791 km;08/2016;170 kW (231 hp);Used;- (Previous Owners);Automatic;Gasoline;5.4 l/100 km (comb.);126 g/km (comb.)
Mercedes-Benz Sprinter ;€ 9,000.-;377,824 km;06/2008;80 kW (109 hp);Used;- (Previous Owners);Manual;Diesel;10 l/100 km (comb.);266 g/km (comb.)
Volkswagen Passat Variant ;€ 1,790.-;292,000 km;10/2003;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Ford Fiesta ;€ 12,890.-;42,000 km;02/2019;52 kW (71 hp);Used;1 previous owner;Manual;Gasoline;5.2 l/100 km (comb.);117 g/km (comb.)
Volvo 850 ;€ 2,750.-;332,000 km;12/1995;106 kW (144 hp);Used;3 previous owners;Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf ;€ 10,500.-;159,000 km;09/2013;77 kW (105 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Mercedes-Benz V 250 ;€ 39,800.-;135,000 km;09/2014;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;6 l/100 km (comb.);- (g/km)
Jeep Compass ;€ 19,000.-;92,000 km;07/2018;88 kW (120 hp);Used;- (Previous Owners);Manual;Diesel;4.4 l/100 km (comb.);- (g/km)
Volkswagen Polo ;€ 6,900.-;180,476 km;01/2012;66 kW (90 hp);Used;5 previous owners;Manual;Gasoline;5.1 l/100 km (comb.);119 g/km (comb.)
Nissan Qashqai ;€ 18,300.-;20,600 km;12/2019;103 kW (140 hp);Used;2 previous owners;Manual;Gasoline;5.3 l/100 km (comb.);121 g/km (comb.)
Mercedes-Benz Vito ;€ 26,500.-;80,000 km;12/2018;84 kW (114 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Renault Twingo ;€ 7,500.-;57,921 km;10/2016;52 kW (71 hp);Used;- (Previous Owners);Manual;Gasoline;4.7 l/100 km (comb.);105 g/km (comb.)
Fiat Panda ;€ 6,500.-;93,864 km;07/2005;44 kW (60 hp);Used;- (Previous Owners);Manual;Gasoline;6.6 l/100 km (comb.);155 g/km (comb.)
Fiat Multipla ;€ 2,200.-;185,000 km;04/2006;68 kW (92 hp);Used;2 previous owners;Manual;CNG;6.3 kg/100 km (comb.);161 g/km (comb.)
Volvo C70 ;€ 5,950.-;291,100 km;02/1998;175 kW (238 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Renault Megane ;€ 5,500.-;168,000 km;07/2010;81 kW (110 hp);Used;2 previous owners;Manual;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
Skoda Octavia ;€ 4,400.-;311,000 km;11/2011;77 kW (105 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);- (g/km)
Alfa Romeo Spider ;€ 15,500.-;36,000 km;06/1990;88 kW (120 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
